,ticker_1,ticker_2,correlation,p1_stationary,p2_stationary,p_cointegration1,p_cointegration2,p_coint_avg,p_coint_min,p_coint_max
135,NEO-USD,EOS-USD,0.8556130760394118,0.06934641433337502,0.41686967021358007,0.05541363360952341,0.18167626275096888,0.11854494818024613,0.05541363360952341,0.18167626275096888
136,NEO-USD,POL-USD,0.8551238184761054,2.372281991269141e-07,0.4957827565824214,,,,,
137,HNT-USD,CRO-USD,0.8550370046427617,0.36903393366611026,0.1336063982904831,0.010101118206858602,0.006783818790173702,0.008442468498516152,0.006783818790173702,0.010101118206858602
138,ALGO-USD,ADA-USD,0.854256667606253,0.5047636489909278,0.24845350157836088,0.11985145396784869,0.04934921954473515,0.08460033675629192,0.04934921954473515,0.11985145396784869
139,ICP-USD,HYPE-USD,0.8524317199619081,0.15350309594138262,0.000846941376855113,,,,,
140,APT-USD,TON-USD,0.8521121009432189,1.8665378638223977e-05,2.7317877439014306e-06,,,,,
141,NEO-USD,LINK-USD,0.8517802819033454,0.06934641433337502,0.18695943356765016,0.1173954023518734,0.2044887746652495,0.16094208850856145,0.1173954023518734,0.2044887746652495
142,DOT-USD,HBAR-USD,0.8516124934527581,0.33815806469182674,0.4035599665154044,0.7742269157291941,0.7763476752897491,0.7752872955094716,0.7742269157291941,0.7763476752897491
143,FIL-USD,VET-USD,0.8510467146687181,0.12961118856112314,0.043741794496021606,,,,,
144,XTZ-USD,CAKE-USD,0.8507529803263769,0.5312612401120275,0.24406290499693856,0.2094758164557371,0.08670125046979738,0.14808853346276724,0.08670125046979738,0.2094758164557371
145,ALGO-USD,ATOM-USD,0.8507396923746686,0.5047636489909278,0.19112106943699508,0.41061284355800914,0.24829969134299512,0.32945626745050216,0.24829969134299512,0.41061284355800914
146,WLD-USD,FET-USD,0.8504345328789702,0.2510743248519077,0.4099781202042429,0.31652732333340544,0.4837788870441017,0.4001531051887536,0.31652732333340544,0.4837788870441017
147,GALA-USD,APT-USD,0.8496718133795887,3.2599030003864015e-08,1.8665378638223977e-05,,,,,
148,OM-USD,TRX-USD,0.8486893460830863,1.0,0.9475890751197268,0.9690369298739354,0.23799441410113292,0.6035156719875342,0.23799441410113292,0.9690369298739354
149,NEXO-USD,LTC-USD,0.8486875868958643,0.13705301752434623,0.2103245670274247,0.2393007607536191,0.2967662209338265,0.2680334908437228,0.2393007607536191,0.2967662209338265
150,BSV-USD,ICP-USD,0.8483964211577004,0.11178515818256829,0.01729771155688287,,,,,
151,KAS-USD,BTC-USD,0.8480664094313788,0.6709424923707794,0.9963817483653834,0.7399776686141213,0.9559414016087985,0.8479595351114599,0.7399776686141213,0.9559414016087985
152,JASMY-USD,ICP-USD,0.8477870004889956,1.9951119244260164e-16,0.01729771155688287,,,,,
153,NEXO-USD,HBAR-USD,0.847384723592598,0.13705301752434623,0.3947652426586486,0.013823846211073144,0.08369951551907362,0.04876168086507338,0.013823846211073144,0.08369951551907362
